"ENSEMBL"	"BE02_107A"
"9513"	"ENSG00000152348.16"	69
"9514"	"ENSG00000152359.15"	52
"9515"	"ENSG00000152377.15"	29.999
"9516"	"ENSG00000152380.10"	20
"9517"	"ENSG00000152382.6"	72
"9518"	"ENSG00000152402.11"	256
"9519"	"ENSG00000152404.16"	549
"9520"	"ENSG00000152409.9"	455
"9521"	"ENSG00000152413.15"	54
"9522"	"ENSG00000152422.16"	78.999
"9523"	"ENSG00000152430.19"	0
"9524"	"ENSG00000152433.15"	29
"9525"	"ENSG00000152439.13"	107.642
"9526"	"ENSG00000152443.13"	270.29
"9527"	"ENSG00000152454.4"	82
"9528"	"ENSG00000152455.16"	24
"9529"	"ENSG00000152457.19"	418
"9530"	"ENSG00000152463.15"	3
"9531"	"ENSG00000152464.15"	61
"9532"	"ENSG00000152465.18"	164
"9533"	"ENSG00000152467.10"	0
"9534"	"ENSG00000152475.7"	1
"9535"	"ENSG00000152484.14"	360
"9536"	"ENSG00000152492.15"	1135
"9537"	"ENSG00000152495.11"	64.999
"9538"	"ENSG00000152503.10"	61
"9539"	"ENSG00000152518.8"	1824
"9540"	"ENSG00000152520.14"	930.999
"9541"	"ENSG00000152527.14"	962
"9542"	"ENSG00000152556.17"	1142.001
"9543"	"ENSG00000152558.15"	1492
"9544"	"ENSG00000152578.15"	106
"9545"	"ENSG00000152580.9"	97
"9546"	"ENSG00000152582.14"	162
"9547"	"ENSG00000152583.13"	2673.999
"9548"	"ENSG00000152591.15"	4
"9549"	"ENSG00000152592.15"	0
"9550"	"ENSG00000152595.17"	0
"9551"	"ENSG00000152601.18"	745.001
"9552"	"ENSG00000152611.12"	0
"9553"	"ENSG00000152620.13"	234.001
"9554"	"ENSG00000152642.11"	508
"9555"	"ENSG00000152661.9"	283
"9556"	"ENSG00000152669.9"	6
"9557"	"ENSG00000152670.19"	2
"9558"	"ENSG00000152672.8"	17
"9559"	"ENSG00000152683.14"	350
"9560"	"ENSG00000152684.11"	74.061
"9561"	"ENSG00000152689.19"	186.001
"9562"	"ENSG00000152700.14"	773.625
"9563"	"ENSG00000152705.8"	11.577
"9564"	"ENSG00000152749.8"	139
"9565"	"ENSG00000152760.10"	1
"9566"	"ENSG00000152763.17"	140.999
"9567"	"ENSG00000152766.6"	245
"9568"	"ENSG00000152767.17"	1177.999
"9569"	"ENSG00000152778.10"	199
"9570"	"ENSG00000152779.14"	219
"9571"	"ENSG00000152782.19"	26
"9572"	"ENSG00000152784.16"	11
"9573"	"ENSG00000152785.8"	7
"9574"	"ENSG00000152795.18"	1093.001
"9575"	"ENSG00000152804.11"	31
"9576"	"ENSG00000152818.20"	7086
"9577"	"ENSG00000152822.15"	2
"9578"	"ENSG00000152894.15"	2192
"9579"	"ENSG00000152904.11"	122.16
"9580"	"ENSG00000152910.19"	12
"9581"	"ENSG00000152926.17"	1959.917
"9582"	"ENSG00000152931.10"	1
"9583"	"ENSG00000152932.8"	34
"9584"	"ENSG00000152936.11"	0
"9585"	"ENSG00000152939.17"	370.001
"9586"	"ENSG00000152942.19"	494
"9587"	"ENSG00000152944.9"	108.999
"9588"	"ENSG00000152952.14"	526.999
"9589"	"ENSG00000152953.13"	104
"9590"	"ENSG00000152954.12"	0
"9591"	"ENSG00000152969.21"	9.362
"9592"	"ENSG00000152977.10"	0
"9593"	"ENSG00000152990.14"	837.637
"9594"	"ENSG00000153002.12"	198272.999
"9595"	"ENSG00000153006.16"	183
"9596"	"ENSG00000153012.12"	11
"9597"	"ENSG00000153015.17"	297.998
"9598"	"ENSG00000153029.16"	121
"9599"	"ENSG00000153037.15"	91.283
"9600"	"ENSG00000153044.10"	10.999
"9601"	"ENSG00000153046.18"	191.999
"9602"	"ENSG00000153048.11"	50
"9603"	"ENSG00000153060.8"	5
"9604"	"ENSG00000153064.12"	148.999
"9605"	"ENSG00000153066.13"	737
"9606"	"ENSG00000153071.15"	704.999
"9607"	"ENSG00000153086.14"	4
"9608"	"ENSG00000153093.21"	14
"9609"	"ENSG00000153094.26"	69
"9610"	"ENSG00000153107.13"	1322.887
"9611"	"ENSG00000153113.25"	1
"9612"	"ENSG00000153130.18"	186.001
"9613"	"ENSG00000153132.13"	15
"9614"	"ENSG00000153140.9"	89
"9615"	"ENSG00000153147.6"	1732
"9616"	"ENSG00000153157.14"	52
"9617"	"ENSG00000153162.9"	45
"9618"	"ENSG00000153165.19"	2331.609
"9619"	"ENSG00000153179.14"	191
"9620"	"ENSG00000153187.21"	4945.998
"9621"	"ENSG00000153201.17"	27006.185
"9622"	"ENSG00000153207.16"	1750.987
"9623"	"ENSG00000153208.19"	671
"9624"	"ENSG00000153214.11"	745.001
"9625"	"ENSG00000153230.4"	0
"9626"	"ENSG00000153233.13"	25
"9627"	"ENSG00000153234.16"	295
"9628"	"ENSG00000153237.19"	22
"9629"	"ENSG00000153246.13"	691
"9630"	"ENSG00000153250.21"	445.999
"9631"	"ENSG00000153253.20"	90.688
"9632"	"ENSG00000153266.13"	0
"9633"	"ENSG00000153283.14"	196
"9634"	"ENSG00000153291.16"	113.999
"9635"	"ENSG00000153292.16"	4
"9636"	"ENSG00000153294.12"	1
"9637"	"ENSG00000153303.18"	0
"9638"	"ENSG00000153310.22"	314.001
"9639"	"ENSG00000153317.15"	910.999
"9640"	"ENSG00000153339.15"	1156
"9641"	"ENSG00000153347.10"	2
"9642"	"ENSG00000153363.16"	14
"9643"	"ENSG00000153391.16"	42
"9644"	"ENSG00000153395.11"	123.999
"9645"	"ENSG00000153404.15"	36
"9646"	"ENSG00000153406.14"	97.999
"9647"	"ENSG00000153443.13"	25.999
"9648"	"ENSG00000153446.16"	137.001
"9649"	"ENSG00000153485.6"	16.356
"9650"	"ENSG00000153487.14"	95
"9651"	"ENSG00000153495.11"	2
"9652"	"ENSG00000153498.12"	0
"9653"	"ENSG00000153531.15"	7
"9654"	"ENSG00000153551.14"	53
"9655"	"ENSG00000153558.17"	42
"9656"	"ENSG00000153560.12"	466.999
"9657"	"ENSG00000153561.13"	300.166
"9658"	"ENSG00000153563.17"	121
"9659"	"ENSG00000153574.9"	125
"9660"	"ENSG00000153684.16"	0
"9661"	"ENSG00000153707.19"	267
"9662"	"ENSG00000153714.6"	83
"9663"	"ENSG00000153721.19"	229.825
"9664"	"ENSG00000153767.10"	76.001
"9665"	"ENSG00000153774.9"	296.001
"9666"	"ENSG00000153779.11"	0
"9667"	"ENSG00000153786.13"	259.001
"9668"	"ENSG00000153789.14"	0
"9669"	"ENSG00000153790.12"	83
"9670"	"ENSG00000153802.12"	0
"9671"	"ENSG00000153814.13"	59
"9672"	"ENSG00000153815.18"	415.999
"9673"	"ENSG00000153820.13"	2
"9674"	"ENSG00000153822.15"	279
"9675"	"ENSG00000153823.19"	81.001
"9676"	"ENSG00000153827.15"	2552.999
"9677"	"ENSG00000153832.12"	16
"9678"	"ENSG00000153879.9"	163
"9679"	"ENSG00000153885.15"	62
"9680"	"ENSG00000153896.19"	35
"9681"	"ENSG00000153898.13"	87
"9682"	"ENSG00000153902.14"	42.001
"9683"	"ENSG00000153904.21"	351.001
"9684"	"ENSG00000153914.16"	978.002
"9685"	"ENSG00000153922.12"	1174.999
"9686"	"ENSG00000153923.11"	0
"9687"	"ENSG00000153930.13"	6
"9688"	"ENSG00000153933.10"	71.999
"9689"	"ENSG00000153936.18"	146.999
"9690"	"ENSG00000153944.12"	532
"9691"	"ENSG00000153956.17"	748.999
"9692"	"ENSG00000153975.10"	98.999
"9693"	"ENSG00000153976.3"	12.484
"9694"	"ENSG00000153982.11"	31
"9695"	"ENSG00000153989.8"	347.209
"9696"	"ENSG00000153993.14"	50
"9697"	"ENSG00000154001.14"	440
"9698"	"ENSG00000154007.7"	4
"9699"	"ENSG00000154016.14"	10.077
"9700"	"ENSG00000154025.16"	0
"9701"	"ENSG00000154027.19"	3
"9702"	"ENSG00000154040.21"	15
"9703"	"ENSG00000154059.11"	275.999
"9704"	"ENSG00000154065.17"	45
"9705"	"ENSG00000154079.6"	22
"9706"	"ENSG00000154080.14"	61
"9707"	"ENSG00000154096.14"	319
"9708"	"ENSG00000154099.18"	24.999
"9709"	"ENSG00000154102.11"	1
"9710"	"ENSG00000154114.13"	243.9
"9711"	"ENSG00000154118.13"	1
"9712"	"ENSG00000154122.14"	467.999
"9713"	"ENSG00000154124.7"	219.001
"9714"	"ENSG00000154127.10"	44
"9715"	"ENSG00000154133.15"	108
"9716"	"ENSG00000154134.15"	14
"9717"	"ENSG00000154143.3"	0
"9718"	"ENSG00000154144.13"	233.002
"9719"	"ENSG00000154146.13"	3
"9720"	"ENSG00000154153.15"	528.999
"9721"	"ENSG00000154162.15"	0
"9722"	"ENSG00000154165.5"	19
"9723"	"ENSG00000154174.8"	516
"9724"	"ENSG00000154175.19"	1883
"9725"	"ENSG00000154188.10"	84
"9726"	"ENSG00000154198.15"	0
"9727"	"ENSG00000154217.16"	192
"9728"	"ENSG00000154222.15"	159
"9729"	"ENSG00000154227.14"	11
"9730"	"ENSG00000154229.12"	479
"9731"	"ENSG00000154237.13"	302.001
"9732"	"ENSG00000154240.18"	535.999
"9733"	"ENSG00000154252.12"	0
"9734"	"ENSG00000154258.17"	592
"9735"	"ENSG00000154262.13"	959.999
"9736"	"ENSG00000154263.18"	427.002
"9737"	"ENSG00000154265.16"	2639
"9738"	"ENSG00000154269.15"	13.001
"9739"	"ENSG00000154274.15"	74
"9740"	"ENSG00000154277.13"	84
"9741"	"ENSG00000154305.18"	3547
"9742"	"ENSG00000154309.9"	293.999
"9743"	"ENSG00000154310.17"	368
"9744"	"ENSG00000154316.17"	0
"9745"	"ENSG00000154319.16"	9
"9746"	"ENSG00000154328.16"	51.001
"9747"	"ENSG00000154330.13"	53.889
"9748"	"ENSG00000154342.6"	0
"9749"	"ENSG00000154358.23"	914.999
"9750"	"ENSG00000154359.13"	164.999
"9751"	"ENSG00000154370.16"	35
"9752"	"ENSG00000154380.19"	1363
"9753"	"ENSG00000154415.8"	0
"9754"	"ENSG00000154429.11"	34
"9755"	"ENSG00000154438.8"	0
"9756"	"ENSG00000154447.15"	387
"9757"	"ENSG00000154451.15"	305
"9758"	"ENSG00000154473.18"	246.999
"9759"	"ENSG00000154478.4"	0
"9760"	"ENSG00000154479.13"	7
"9761"	"ENSG00000154485.5"	2
"9762"	"ENSG00000154493.20"	0
"9763"	"ENSG00000154511.12"	62
"9764"	"ENSG00000154518.10"	142
"9765"	"ENSG00000154529.15"	208.275
"9766"	"ENSG00000154545.17"	243.346
"9767"	"ENSG00000154548.10"	5
"9768"	"ENSG00000154553.17"	291
"9769"	"ENSG00000154556.20"	1530.999
"9770"	"ENSG00000154582.18"	105.001
"9771"	"ENSG00000154589.7"	69
"9772"	"ENSG00000154608.14"	108.526
"9773"	"ENSG00000154611.15"	0
"9774"	"ENSG00000154620.6"	10.245
"9775"	"ENSG00000154639.19"	342
"9776"	"ENSG00000154640.15"	126
"9777"	"ENSG00000154642.11"	81.001
"9778"	"ENSG00000154645.14"	0
"9779"	"ENSG00000154646.9"	2
"9780"	"ENSG00000154654.15"	16
"9781"	"ENSG00000154655.16"	173.999
"9782"	"ENSG00000154678.18"	56
"9783"	"ENSG00000154710.18"	263
"9784"	"ENSG00000154719.14"	122
"9785"	"ENSG00000154721.15"	146
"9786"	"ENSG00000154723.13"	215
"9787"	"ENSG00000154727.11"	461.401
"9788"	"ENSG00000154734.16"	1061
"9789"	"ENSG00000154736.6"	77
"9790"	"ENSG00000154743.19"	313
"9791"	"ENSG00000154760.14"	237.673
"9792"	"ENSG00000154764.6"	0
"9793"	"ENSG00000154767.16"	606.999
"9794"	"ENSG00000154781.17"	152.999
"9795"	"ENSG00000154783.12"	229
"9796"	"ENSG00000154803.13"	221.975
"9797"	"ENSG00000154813.10"	25.999
"9798"	"ENSG00000154814.14"	186
"9799"	"ENSG00000154822.18"	309
"9800"	"ENSG00000154832.16"	231
"9801"	"ENSG00000154839.10"	5
"9802"	"ENSG00000154845.16"	484
"9803"	"ENSG00000154856.13"	104.001
"9804"	"ENSG00000154864.14"	143.001
"9805"	"ENSG00000154874.18"	808.72
"9806"	"ENSG00000154889.17"	118.788
"9807"	"ENSG00000154898.17"	118.848
"9808"	"ENSG00000154914.17"	52
"9809"	"ENSG00000154917.11"	24
"9810"	"ENSG00000154920.15"	7
"9811"	"ENSG00000154928.19"	5
"9812"	"ENSG00000154930.15"	277
"9813"	"ENSG00000154945.7"	213
"9814"	"ENSG00000154957.14"	46
"9815"	"ENSG00000154975.14"	4
"9816"	"ENSG00000154978.13"	119.001
"9817"	"ENSG00000154997.9"	0
"9818"	"ENSG00000155008.16"	183
"9819"	"ENSG00000155011.9"	2
"9820"	"ENSG00000155016.18"	25
"9821"	"ENSG00000155026.17"	4.559
"9822"	"ENSG00000155034.21"	36
"9823"	"ENSG00000155052.15"	0
"9824"	"ENSG00000155066.16"	192
"9825"	"ENSG00000155070.8"	0
"9826"	"ENSG00000155085.16"	257
"9827"	"ENSG00000155087.4"	0
"9828"	"ENSG00000155090.15"	625
"9829"	"ENSG00000155093.20"	947
"9830"	"ENSG00000155096.15"	1006.001
"9831"	"ENSG00000155097.12"	266.999
"9832"	"ENSG00000155099.8"	42
"9833"	"ENSG00000155100.11"	98.001
"9834"	"ENSG00000155111.15"	186
"9835"	"ENSG00000155115.7"	191
"9836"	"ENSG00000155158.20"	217.999
"9837"	"ENSG00000155189.12"	82
"9838"	"ENSG00000155229.21"	356
"9839"	"ENSG00000155249.5"	0
"9840"	"ENSG00000155252.14"	74
"9841"	"ENSG00000155254.13"	16
"9842"	"ENSG00000155256.18"	210
"9843"	"ENSG00000155265.12"	15
"9844"	"ENSG00000155269.12"	1.358
"9845"	"ENSG00000155275.19"	253
"9846"	"ENSG00000155287.12"	145
"9847"	"ENSG00000155304.6"	128
"9848"	"ENSG00000155307.19"	64
"9849"	"ENSG00000155313.16"	989.001
"9850"	"ENSG00000155324.10"	219
"9851"	"ENSG00000155329.12"	109
"9852"	"ENSG00000155330.10"	22
"9853"	"ENSG00000155363.19"	348.999
"9854"	"ENSG00000155366.17"	327.849
"9855"	"ENSG00000155367.16"	0
"9856"	"ENSG00000155368.18"	274.001
"9857"	"ENSG00000155380.13"	94
"9858"	"ENSG00000155393.14"	129
"9859"	"ENSG00000155428.12"	24.177
"9860"	"ENSG00000155438.12"	327
"9861"	"ENSG00000155463.14"	614
"9862"	"ENSG00000155465.21"	186.001
"9863"	"ENSG00000155495.9"	0
"9864"	"ENSG00000155506.19"	2178.001
"9865"	"ENSG00000155508.14"	132
"9866"	"ENSG00000155511.19"	22.999
"9867"	"ENSG00000155530.4"	16
"9868"	"ENSG00000155542.12"	37
"9869"	"ENSG00000155545.20"	172
"9870"	"ENSG00000155561.15"	795
"9871"	"ENSG00000155592.16"	65
"9872"	"ENSG00000155621.15"	60
"9873"	"ENSG00000155622.7"	0
"9874"	"ENSG00000155629.15"	526.002
"9875"	"ENSG00000155636.16"	75
"9876"	"ENSG00000155657.29"	8846.001
"9877"	"ENSG00000155659.15"	125
"9878"	"ENSG00000155660.11"	1348
"9879"	"ENSG00000155666.12"	15
"9880"	"ENSG00000155714.14"	0
"9881"	"ENSG00000155719.18"	11.501
"9882"	"ENSG00000155729.13"	84.999
"9883"	"ENSG00000155744.10"	284.999
"9884"	"ENSG00000155749.13"	15
"9885"	"ENSG00000155754.15"	9
"9886"	"ENSG00000155755.20"	76
"9887"	"ENSG00000155760.3"	40
"9888"	"ENSG00000155761.14"	115
"9889"	"ENSG00000155792.10"	305
"9890"	"ENSG00000155816.21"	10
"9891"	"ENSG00000155827.12"	535
"9892"	"ENSG00000155833.15"	0
"9893"	"ENSG00000155846.17"	26.001
"9894"	"ENSG00000155849.16"	492.998
"9895"	"ENSG00000155850.9"	216
"9896"	"ENSG00000155858.6"	20
"9897"	"ENSG00000155868.8"	37
"9898"	"ENSG00000155875.15"	1
"9899"	"ENSG00000155876.6"	185
"9900"	"ENSG00000155886.12"	1
"9901"	"ENSG00000155890.4"	0
"9902"	"ENSG00000155893.13"	67
"9903"	"ENSG00000155897.10"	0
"9904"	"ENSG00000155903.14"	403
"9905"	"ENSG00000155906.20"	109.999
"9906"	"ENSG00000155918.8"	0
"9907"	"ENSG00000155926.14"	217
"9908"	"ENSG00000155957.19"	451.999
"9909"	"ENSG00000155959.12"	107
"9910"	"ENSG00000155961.5"	16
"9911"	"ENSG00000155962.13"	95
"9912"	"ENSG00000155966.14"	28.999
"9913"	"ENSG00000155970.12"	51.001
"9914"	"ENSG00000155974.14"	82
"9915"	"ENSG00000155975.10"	358.001
"9916"	"ENSG00000155980.13"	16
"9917"	"ENSG00000156006.5"	0
"9918"	"ENSG00000156009.10"	0
"9919"	"ENSG00000156011.19"	662
"9920"	"ENSG00000156017.13"	204
"9921"	"ENSG00000156026.15"	216
"9922"	"ENSG00000156030.14"	283
"9923"	"ENSG00000156042.19"	134
"9924"	"ENSG00000156049.7"	13
"9925"	"ENSG00000156050.10"	62
"9926"	"ENSG00000156052.11"	454
"9927"	"ENSG00000156076.10"	5
"9928"	"ENSG00000156096.15"	0
"9929"	"ENSG00000156097.13"	0
"9930"	"ENSG00000156103.16"	29.001
"9931"	"ENSG00000156110.15"	416
"9932"	"ENSG00000156113.25"	201.999
"9933"	"ENSG00000156127.8"	11
"9934"	"ENSG00000156136.10"	87
"9935"	"ENSG00000156140.11"	44
"9936"	"ENSG00000156150.9"	0
"9937"	"ENSG00000156162.16"	333
"9938"	"ENSG00000156170.14"	126
"9939"	"ENSG00000156171.15"	181.999
"9940"	"ENSG00000156172.6"	13
"9941"	"ENSG00000156194.19"	2
"9942"	"ENSG00000156206.14"	0
"9943"	"ENSG00000156218.13"	747
"9944"	"ENSG00000156219.18"	23
"9945"	"ENSG00000156222.12"	0
"9946"	"ENSG00000156232.7"	173
"9947"	"ENSG00000156234.8"	0
"9948"	"ENSG00000156239.12"	49
"9949"	"ENSG00000156253.7"	78.001
"9950"	"ENSG00000156256.15"	705
"9951"	"ENSG00000156261.13"	767.001
"9952"	"ENSG00000156265.17"	60
"9953"	"ENSG00000156269.5"	0
"9954"	"ENSG00000156273.16"	786.001
"9955"	"ENSG00000156282.5"	0
"9956"	"ENSG00000156284.6"	0
"9957"	"ENSG00000156298.13"	113.8
"9958"	"ENSG00000156299.15"	125
"9959"	"ENSG00000156304.15"	683.999
"9960"	"ENSG00000156313.15"	849.001
"9961"	"ENSG00000156345.18"	31
"9962"	"ENSG00000156374.16"	33
"9963"	"ENSG00000156381.9"	26
"9964"	"ENSG00000156384.15"	30
"9965"	"ENSG00000156395.14"	0
"9966"	"ENSG00000156398.13"	74
"9967"	"ENSG00000156411.10"	73
"9968"	"ENSG00000156413.15"	546.98
"9969"	"ENSG00000156414.20"	11
"9970"	"ENSG00000156427.8"	4
"9971"	"ENSG00000156453.14"	568.999
"9972"	"ENSG00000156463.18"	576.999
"9973"	"ENSG00000156466.11"	9
"9974"	"ENSG00000156467.10"	1464
"9975"	"ENSG00000156469.9"	107
"9976"	"ENSG00000156471.13"	345
"9977"	"ENSG00000156475.19"	6
"9978"	"ENSG00000156482.11"	5409.999
"9979"	"ENSG00000156486.8"	3
"9980"	"ENSG00000156500.16"	32.999
"9981"	"ENSG00000156502.14"	181
"9982"	"ENSG00000156504.17"	351
"9983"	"ENSG00000156508.19"	43378.145
"9984"	"ENSG00000156509.14"	3
"9985"	"ENSG00000156510.13"	71
"9986"	"ENSG00000156515.25"	1209
"9987"	"ENSG00000156521.14"	21
"9988"	"ENSG00000156531.18"	413
"9989"	"ENSG00000156535.15"	96
"9990"	"ENSG00000156564.10"	0
"9991"	"ENSG00000156574.10"	0
"9992"	"ENSG00000156575.2"	0
"9993"	"ENSG00000156587.16"	245
"9994"	"ENSG00000156599.11"	289
"9995"	"ENSG00000156603.20"	67
"9996"	"ENSG00000156639.12"	199.001
"9997"	"ENSG00000156642.17"	468.001
"9998"	"ENSG00000156650.14"	1974
"9999"	"ENSG00000156671.15"	172.999
"10000"	"ENSG00000156675.16"	564
"10001"	"ENSG00000156687.11"	28
"10002"	"ENSG00000156689.7"	1
"10003"	"ENSG00000156697.13"	240.433
"10004"	"ENSG00000156709.15"	606
"10005"	"ENSG00000156711.17"	228
"10006"	"ENSG00000156735.11"	144.001
"10007"	"ENSG00000156738.18"	12.999
"10008"	"ENSG00000156755.10"	0
"10009"	"ENSG00000156787.17"	108
"10010"	"ENSG00000156795.8"	33.999
"10011"	"ENSG00000156802.13"	296
"10012"	"ENSG00000156804.7"	111.999
"10013"	"ENSG00000156831.9"	108
"10014"	"ENSG00000156853.13"	27
"10015"	"ENSG00000156858.12"	131
"10016"	"ENSG00000156860.16"	220.999
"10017"	"ENSG00000156869.14"	94
"10018"	"ENSG00000156873.16"	167
"10019"	"ENSG00000156875.14"	460.676
"10020"	"ENSG00000156876.10"	79
"10021"	"ENSG00000156885.6"	0
"10022"	"ENSG00000156886.12"	0
"10023"	"ENSG00000156920.11"	0
"10024"	"ENSG00000156925.12"	0
"10025"	"ENSG00000156928.5"	83.001
"10026"	"ENSG00000156931.16"	1042.001
"10027"	"ENSG00000156958.15"	338.999
"10028"	"ENSG00000156959.9"	1
"10029"	"ENSG00000156966.8"	21
"10030"	"ENSG00000156968.9"	99.204
"10031"	"ENSG00000156970.13"	29.001
"10032"	"ENSG00000156973.14"	66
"10033"	"ENSG00000156976.17"	2125.221
"10034"	"ENSG00000156983.17"	152
"10035"	"ENSG00000156990.14"	52
"10036"	"ENSG00000157005.4"	11
"10037"	"ENSG00000157014.11"	81.925
"10038"	"ENSG00000157017.16"	10
"10039"	"ENSG00000157020.18"	382
"10040"	"ENSG00000157021.9"	7.144
"10041"	"ENSG00000157036.13"	98
"10042"	"ENSG00000157045.9"	173.999
"10043"	"ENSG00000157060.16"	0
"10044"	"ENSG00000157064.11"	4
"10045"	"ENSG00000157077.16"	831
"10046"	"ENSG00000157087.20"	0
"10047"	"ENSG00000157093.9"	0
"10048"	"ENSG00000157103.13"	10
"10049"	"ENSG00000157106.18"	7231.07
"10050"	"ENSG00000157107.14"	773
"10051"	"ENSG00000157110.16"	517
"10052"	"ENSG00000157111.13"	3
"10053"	"ENSG00000157119.12"	0
"10054"	"ENSG00000157131.12"	0
"10055"	"ENSG00000157150.5"	11
"10056"	"ENSG00000157152.17"	2
"10057"	"ENSG00000157168.22"	15
"10058"	"ENSG00000157181.16"	442
"10059"	"ENSG00000157184.7"	273
"10060"	"ENSG00000157191.20"	140.999
"10061"	"ENSG00000157193.18"	59
"10062"	"ENSG00000157211.12"	0
"10063"	"ENSG00000157212.20"	253.001
"10064"	"ENSG00000157214.14"	330
"10065"	"ENSG00000157216.17"	489.002
"10066"	"ENSG00000157219.5"	1
"10067"	"ENSG00000157224.16"	116.753
"10068"	"ENSG00000157227.14"	354.999
"10069"	"ENSG00000157240.4"	110
"10070"	"ENSG00000157259.8"	400
"10071"	"ENSG00000157303.11"	5
"10072"	"ENSG00000157306.15"	36.404
"10073"	"ENSG00000157315.5"	328
"10074"	"ENSG00000157322.18"	91.384
"10075"	"ENSG00000157326.19"	220.098
"10076"	"ENSG00000157330.10"	0
"10077"	"ENSG00000157335.21"	8.767
"10078"	"ENSG00000157343.9"	4
"10079"	"ENSG00000157349.17"	374.14
"10080"	"ENSG00000157350.13"	49
"10081"	"ENSG00000157353.17"	40
"10082"	"ENSG00000157368.12"	1
"10083"	"ENSG00000157379.14"	94
"10084"	"ENSG00000157388.20"	1160
"10085"	"ENSG00000157399.17"	654
"10086"	"ENSG00000157404.17"	429.999
"10087"	"ENSG00000157423.18"	134.977
"10088"	"ENSG00000157426.14"	205.001
"10089"	"ENSG00000157429.16"	47
"10090"	"ENSG00000157445.16"	19
"10091"	"ENSG00000157450.16"	644
"10092"	"ENSG00000157456.8"	12
"10093"	"ENSG00000157470.12"	41
"10094"	"ENSG00000157483.9"	996
"10095"	"ENSG00000157500.12"	778
"10096"	"ENSG00000157502.13"	109
"10097"	"ENSG00000157510.14"	70.999
"10098"	"ENSG00000157514.18"	1274.999
"10099"	"ENSG00000157538.14"	130
"10100"	"ENSG00000157540.22"	698
"10101"	"ENSG00000157542.11"	1
"10102"	"ENSG00000157551.19"	348
"10103"	"ENSG00000157554.20"	128
"10104"	"ENSG00000157557.13"	361
"10105"	"ENSG00000157570.12"	19
"10106"	"ENSG00000157578.14"	17
"10107"	"ENSG00000157593.20"	87
"10108"	"ENSG00000157600.13"	96
"10109"	"ENSG00000157601.15"	615
"10110"	"ENSG00000157613.11"	829
"10111"	"ENSG00000157617.17"	217
"10112"	"ENSG00000157625.16"	610.001
"10113"	"ENSG00000157637.13"	508.001
"10114"	"ENSG00000157653.12"	13
"10115"	"ENSG00000157654.19"	501.998
"10116"	"ENSG00000157657.15"	232
"10117"	"ENSG00000157680.17"	8
"10118"	"ENSG00000157693.15"	77
"10119"	"ENSG00000157703.16"	3
"10120"	"ENSG00000157734.14"	14
"10121"	"ENSG00000157741.15"	876
"10122"	"ENSG00000157764.14"	989.999
"10123"	"ENSG00000157765.13"	196
"10124"	"ENSG00000157766.19"	10
"10125"	"ENSG00000157778.9"	3
"10126"	"ENSG00000157782.10"	0
"10127"	"ENSG00000157796.18"	468
"10128"	"ENSG00000157800.18"	278.999
"10129"	"ENSG00000157823.17"	183.409
"10130"	"ENSG00000157827.20"	1372
"10131"	"ENSG00000157833.13"	4
"10132"	"ENSG00000157837.16"	220.999
"10133"	"ENSG00000157851.17"	0
"10134"	"ENSG00000157856.12"	0
"10135"	"ENSG00000157869.16"	111
"10136"	"ENSG00000157870.17"	24
"10137"	"ENSG00000157873.18"	296.001
"10138"	"ENSG00000157881.16"	77
"10139"	"ENSG00000157884.11"	2
"10140"	"ENSG00000157890.19"	2
"10141"	"ENSG00000157895.11"	45
"10142"	"ENSG00000157911.11"	27
"10143"	"ENSG00000157916.20"	557.999
"10144"	"ENSG00000157927.17"	11
"10145"	"ENSG00000157933.11"	405
"10146"	"ENSG00000157954.15"	316.998
"10147"	"ENSG00000157965.13"	0
"10148"	"ENSG00000157978.13"	309.999
"10149"	"ENSG00000157985.20"	532
"10150"	"ENSG00000157992.12"	72
"10151"	"ENSG00000157999.6"	2
"10152"	"ENSG00000158006.14"	85
"10153"	"ENSG00000158008.10"	0
"10154"	"ENSG00000158014.15"	81
"10155"	"ENSG00000158019.21"	425.317
"10156"	"ENSG00000158022.7"	5
"10157"	"ENSG00000158023.10"	88.001
"10158"	"ENSG00000158042.9"	35
"10159"	"ENSG00000158050.6"	3
"10160"	"ENSG00000158055.17"	0
"10161"	"ENSG00000158062.21"	49
"10162"	"ENSG00000158077.5"	32
"10163"	"ENSG00000158079.16"	115
"10164"	"ENSG00000158089.15"	1
"10165"	"ENSG00000158092.7"	148.001
"10166"	"ENSG00000158104.11"	11
"10167"	"ENSG00000158106.15"	40
"10168"	"ENSG00000158109.15"	82
"10169"	"ENSG00000158113.13"	1
"10170"	"ENSG00000158122.12"	53
"10171"	"ENSG00000158125.10"	128
"10172"	"ENSG00000158156.9"	29
"10173"	"ENSG00000158158.12"	260
"10174"	"ENSG00000158161.16"	406.999
"10175"	"ENSG00000158163.15"	137
"10176"	"ENSG00000158164.7"	0
"10177"	"ENSG00000158169.14"	118
"10178"	"ENSG00000158186.13"	39
"10179"	"ENSG00000158195.11"	1110.725
"10180"	"ENSG00000158201.10"	131.999
"10181"	"ENSG00000158220.14"	47.999
"10182"	"ENSG00000158234.13"	93
"10183"	"ENSG00000158246.8"	3
"10184"	"ENSG00000158258.16"	77
"10185"	"ENSG00000158270.12"	69
"10186"	"ENSG00000158286.13"	97.001
"10187"	"ENSG00000158290.19"	1374
"10188"	"ENSG00000158292.7"	6
