"ENSEMBL"	"BE02_107A"
"161"	"ENSG00000006831.10"	286.999
"162"	"ENSG00000006837.12"	0
"163"	"ENSG00000007001.14"	0
"164"	"ENSG00000007038.11"	6
"165"	"ENSG00000007047.16"	87
"166"	"ENSG00000007062.12"	1033
"167"	"ENSG00000007080.11"	99
"168"	"ENSG00000007129.18"	13
"169"	"ENSG00000007168.15"	1632.001
"170"	"ENSG00000007171.19"	0
"171"	"ENSG00000007174.18"	25
"172"	"ENSG00000007202.16"	1808.999
"173"	"ENSG00000007216.16"	1
"174"	"ENSG00000007237.19"	235
"175"	"ENSG00000007255.10"	15
"176"	"ENSG00000007264.15"	2
"177"	"ENSG00000007306.15"	15
"178"	"ENSG00000007312.14"	13
"179"	"ENSG00000007314.12"	14
"180"	"ENSG00000007341.19"	144
"181"	"ENSG00000007350.18"	1
"182"	"ENSG00000007372.25"	44.001
"183"	"ENSG00000007376.8"	24
"184"	"ENSG00000007384.15"	126.001
"185"	"ENSG00000007392.17"	418.999
"186"	"ENSG00000007402.12"	96
"187"	"ENSG00000007516.15"	49
"188"	"ENSG00000007520.4"	36
"189"	"ENSG00000007541.17"	113
"190"	"ENSG00000007545.16"	179.207
"191"	"ENSG00000007866.22"	95
"192"	"ENSG00000007908.16"	3
"193"	"ENSG00000007923.17"	232.001
"194"	"ENSG00000007933.13"	27
"195"	"ENSG00000007944.16"	134
"196"	"ENSG00000007952.18"	0
"197"	"ENSG00000007968.7"	0
"198"	"ENSG00000008018.9"	361
"199"	"ENSG00000008056.14"	7.196
"200"	"ENSG00000008083.14"	228
"201"	"ENSG00000008086.13"	312
"202"	"ENSG00000008118.10"	12
"203"	"ENSG00000008128.23"	467.856
"204"	"ENSG00000008130.15"	215.542
"205"	"ENSG00000008196.13"	0
"206"	"ENSG00000008197.5"	0
"207"	"ENSG00000008226.20"	38
"208"	"ENSG00000008256.17"	135
"209"	"ENSG00000008277.15"	36
"210"	"ENSG00000008282.10"	224
"211"	"ENSG00000008283.16"	172
"212"	"ENSG00000008294.22"	1846.001
"213"	"ENSG00000008300.17"	65
"214"	"ENSG00000008311.16"	1211.998
"215"	"ENSG00000008323.16"	18
"216"	"ENSG00000008324.12"	22
"217"	"ENSG00000008382.16"	49
"218"	"ENSG00000008394.13"	139
"219"	"ENSG00000008405.12"	164
"220"	"ENSG00000008438.5"	1
"221"	"ENSG00000008441.19"	635.999
"222"	"ENSG00000008513.17"	67
"223"	"ENSG00000008516.19"	5
"224"	"ENSG00000008517.19"	201.002
"225"	"ENSG00000008710.20"	2389.352
"226"	"ENSG00000008735.14"	4
"227"	"ENSG00000008838.21"	305.999
"228"	"ENSG00000008853.18"	112.999
"229"	"ENSG00000008869.12"	1377
"230"	"ENSG00000008952.17"	1791
"231"	"ENSG00000008988.11"	3631
"232"	"ENSG00000009307.17"	4151.999
"233"	"ENSG00000009335.19"	857
"234"	"ENSG00000009413.17"	1555
"235"	"ENSG00000009694.14"	27
"236"	"ENSG00000009709.13"	0
"237"	"ENSG00000009724.18"	0
"238"	"ENSG00000009765.15"	9
"239"	"ENSG00000009780.16"	106
"240"	"ENSG00000009790.15"	65.999
"241"	"ENSG00000009830.13"	177
"242"	"ENSG00000009844.16"	129
"243"	"ENSG00000009950.16"	82
"244"	"ENSG00000009954.11"	1517
"245"	"ENSG00000010017.13"	811
"246"	"ENSG00000010030.14"	17
"247"	"ENSG00000010072.16"	51
"248"	"ENSG00000010165.20"	155
"249"	"ENSG00000010219.14"	41
"250"	"ENSG00000010244.19"	1342.999
"251"	"ENSG00000010256.12"	558.999
"252"	"ENSG00000010270.14"	149
"253"	"ENSG00000010278.15"	378
"254"	"ENSG00000010282.15"	0
"255"	"ENSG00000010292.13"	258.001
"256"	"ENSG00000010295.20"	92
"257"	"ENSG00000010310.9"	143
"258"	"ENSG00000010318.22"	25
"259"	"ENSG00000010319.7"	17
"260"	"ENSG00000010322.16"	916.002
"261"	"ENSG00000010327.10"	822.001
"262"	"ENSG00000010361.14"	74.001
"263"	"ENSG00000010379.16"	2
"264"	"ENSG00000010404.18"	569.655
"265"	"ENSG00000010438.17"	9860
"266"	"ENSG00000010539.12"	63
"267"	"ENSG00000010610.10"	89
"268"	"ENSG00000010626.15"	41.999
"269"	"ENSG00000010671.18"	172
"270"	"ENSG00000010704.20"	97
"271"	"ENSG00000010803.17"	623.001
"272"	"ENSG00000010810.18"	274
"273"	"ENSG00000010818.11"	1274
"274"	"ENSG00000010932.17"	23
"275"	"ENSG00000011007.13"	612
"276"	"ENSG00000011009.12"	112
"277"	"ENSG00000011021.23"	139.001
"278"	"ENSG00000011028.14"	225
"279"	"ENSG00000011052.21"	0
"280"	"ENSG00000011083.9"	0
"281"	"ENSG00000011105.14"	90
"282"	"ENSG00000011114.15"	477.001
"283"	"ENSG00000011132.12"	44
"284"	"ENSG00000011143.19"	146
"285"	"ENSG00000011198.10"	464
"286"	"ENSG00000011201.12"	77
"287"	"ENSG00000011243.19"	514.001
"288"	"ENSG00000011258.16"	420
"289"	"ENSG00000011260.14"	193
"290"	"ENSG00000011275.19"	739.535
"291"	"ENSG00000011295.16"	1097.999
"292"	"ENSG00000011304.22"	630.001
"293"	"ENSG00000011332.22"	1
"294"	"ENSG00000011347.10"	20
"295"	"ENSG00000011376.12"	168
"296"	"ENSG00000011405.14"	1858.999
"297"	"ENSG00000011422.12"	84.999
"298"	"ENSG00000011426.11"	58
"299"	"ENSG00000011451.21"	161
"300"	"ENSG00000011454.18"	1092.999
"301"	"ENSG00000011465.18"	8432
"302"	"ENSG00000011478.13"	21
"303"	"ENSG00000011485.15"	228
"304"	"ENSG00000011523.15"	187.999
"305"	"ENSG00000011566.15"	1274.999
"306"	"ENSG00000011590.14"	1
"307"	"ENSG00000011600.12"	327
"308"	"ENSG00000011638.11"	45
"309"	"ENSG00000011677.13"	0
"310"	"ENSG00000012048.26"	193.999
"311"	"ENSG00000012061.17"	359.002
"312"	"ENSG00000012124.17"	15
"313"	"ENSG00000012171.20"	315.999
"314"	"ENSG00000012174.12"	229.911
"315"	"ENSG00000012211.13"	26
"316"	"ENSG00000012223.13"	167
"317"	"ENSG00000012232.10"	347
"318"	"ENSG00000012504.15"	37
"319"	"ENSG00000012660.14"	198
"320"	"ENSG00000012779.12"	202
"321"	"ENSG00000012817.16"	2173
"322"	"ENSG00000012822.16"	707
"323"	"ENSG00000012963.15"	507.23
"324"	"ENSG00000012983.12"	1231
"325"	"ENSG00000013016.16"	29
"326"	"ENSG00000013275.8"	197
"327"	"ENSG00000013288.9"	372
"328"	"ENSG00000013293.6"	3
"329"	"ENSG00000013297.12"	11
"330"	"ENSG00000013306.16"	249.999
"331"	"ENSG00000013364.19"	508.001
"332"	"ENSG00000013374.17"	488.999
"333"	"ENSG00000013375.17"	681
"334"	"ENSG00000013392.8"	59
"335"	"ENSG00000013441.17"	2030
"336"	"ENSG00000013503.10"	584
"337"	"ENSG00000013523.12"	229.999
"338"	"ENSG00000013561.18"	348
"339"	"ENSG00000013563.14"	67
"340"	"ENSG00000013573.17"	715.798
"341"	"ENSG00000013583.10"	110
"342"	"ENSG00000013588.10"	236.001
"343"	"ENSG00000013619.15"	138
"344"	"ENSG00000013725.14"	31
"345"	"ENSG00000013810.21"	67
"346"	"ENSG00000014123.10"	641
"347"	"ENSG00000014138.10"	109.001
"348"	"ENSG00000014164.7"	54
"349"	"ENSG00000014216.16"	479.999
"350"	"ENSG00000014257.17"	40
"351"	"ENSG00000014641.21"	387
"352"	"ENSG00000014824.14"	901.001
"353"	"ENSG00000014914.21"	97
"354"	"ENSG00000014919.13"	194.039
"355"	"ENSG00000015133.20"	436
"356"	"ENSG00000015153.15"	136
"357"	"ENSG00000015171.21"	1084
"358"	"ENSG00000015285.12"	161
"359"	"ENSG00000015413.10"	410
"360"	"ENSG00000015475.19"	22
"361"	"ENSG00000015479.20"	4104.543
"362"	"ENSG00000015520.15"	22
"363"	"ENSG00000015532.10"	93
"364"	"ENSG00000015568.13"	10533.241
"365"	"ENSG00000015592.17"	0
"366"	"ENSG00000015676.18"	210
"367"	"ENSG00000016082.15"	8
"368"	"ENSG00000016391.11"	195
"369"	"ENSG00000016402.14"	208
"370"	"ENSG00000016490.16"	0
"371"	"ENSG00000016602.9"	0
"372"	"ENSG00000016864.19"	263
"373"	"ENSG00000017260.20"	2245
"374"	"ENSG00000017427.17"	98
"375"	"ENSG00000017483.16"	375
"376"	"ENSG00000017797.13"	380
"377"	"ENSG00000018189.13"	566.001
"378"	"ENSG00000018236.15"	348
"379"	"ENSG00000018280.18"	46.999
"380"	"ENSG00000018408.15"	283
"381"	"ENSG00000018510.18"	1411.999
"382"	"ENSG00000018607.9"	0
"383"	"ENSG00000018610.15"	128
"384"	"ENSG00000018625.15"	36.999
"385"	"ENSG00000018699.13"	313.999
"386"	"ENSG00000018869.18"	21
"387"	"ENSG00000019102.12"	395
"388"	"ENSG00000019144.20"	1139
"389"	"ENSG00000019169.11"	2
"390"	"ENSG00000019186.10"	16
"391"	"ENSG00000019485.14"	78
"392"	"ENSG00000019505.8"	18
"393"	"ENSG00000019549.13"	125
"394"	"ENSG00000019582.17"	3943.999
"395"	"ENSG00000019991.18"	290
"396"	"ENSG00000019995.6"	621.842
"397"	"ENSG00000020129.16"	90
"398"	"ENSG00000020181.18"	273
"399"	"ENSG00000020219.9"	3
"400"	"ENSG00000020256.20"	151.999
"401"	"ENSG00000020426.11"	153
"402"	"ENSG00000020577.14"	319
"403"	"ENSG00000020633.19"	14
"404"	"ENSG00000020922.13"	505
"405"	"ENSG00000021300.14"	33
"406"	"ENSG00000021355.13"	643
"407"	"ENSG00000021461.18"	8
"408"	"ENSG00000021488.13"	2
"409"	"ENSG00000021574.15"	421.001
"410"	"ENSG00000021645.20"	22
"411"	"ENSG00000021762.20"	97.001
"412"	"ENSG00000021776.11"	905.001
"413"	"ENSG00000021826.18"	116
"414"	"ENSG00000021852.14"	0
"415"	"ENSG00000022267.19"	1280
"416"	"ENSG00000022277.13"	320.158
"417"	"ENSG00000022355.18"	0
"418"	"ENSG00000022556.16"	10
"419"	"ENSG00000022567.10"	133.999
"420"	"ENSG00000022840.17"	1167.999
"421"	"ENSG00000022976.16"	113
"422"	"ENSG00000023041.12"	201
"423"	"ENSG00000023171.20"	377
"424"	"ENSG00000023191.17"	174.001
"425"	"ENSG00000023228.15"	1487.347
"426"	"ENSG00000023287.13"	1777.001
"427"	"ENSG00000023318.9"	1041.001
"428"	"ENSG00000023330.15"	143
"429"	"ENSG00000023445.17"	849
"430"	"ENSG00000023516.9"	1437
"431"	"ENSG00000023572.10"	71
"432"	"ENSG00000023608.5"	43.099
"433"	"ENSG00000023697.13"	162
"434"	"ENSG00000023734.11"	667
"435"	"ENSG00000023839.12"	109.001
"436"	"ENSG00000023892.12"	147
"437"	"ENSG00000023902.14"	78
"438"	"ENSG00000023909.10"	101
"439"	"ENSG00000024048.11"	2238
"440"	"ENSG00000024422.12"	279
"441"	"ENSG00000024526.17"	9.001
"442"	"ENSG00000024862.18"	138
"443"	"ENSG00000025039.15"	102
"444"	"ENSG00000025156.13"	124
"445"	"ENSG00000025293.17"	324.999
"446"	"ENSG00000025423.11"	0
"447"	"ENSG00000025434.19"	55.001
"448"	"ENSG00000025708.14"	258.986
"449"	"ENSG00000025770.19"	195
"450"	"ENSG00000025772.8"	71
"451"	"ENSG00000025796.14"	4226
"452"	"ENSG00000025800.14"	375.001
"453"	"ENSG00000026025.16"	11974.989
"454"	"ENSG00000026036.23"	30.722
"455"	"ENSG00000026103.25"	428.001
"456"	"ENSG00000026297.17"	878.001
"457"	"ENSG00000026508.21"	2002.001
"458"	"ENSG00000026559.14"	11
"459"	"ENSG00000026652.15"	43
"460"	"ENSG00000026751.17"	228
"461"	"ENSG00000026950.17"	342.903
"462"	"ENSG00000027001.10"	155
"463"	"ENSG00000027075.18"	315
"464"	"ENSG00000027644.5"	1
"465"	"ENSG00000027697.16"	546.999
"466"	"ENSG00000027847.14"	94
"467"	"ENSG00000027869.13"	11
"468"	"ENSG00000028116.18"	314
"469"	"ENSG00000028137.19"	121
"470"	"ENSG00000028203.19"	638.999
"471"	"ENSG00000028277.22"	35.001
"472"	"ENSG00000028310.18"	404.258
"473"	"ENSG00000028528.15"	903.001
"474"	"ENSG00000028839.10"	55
"475"	"ENSG00000029153.15"	197
"476"	"ENSG00000029363.17"	1580.062
"477"	"ENSG00000029364.12"	404.001
"478"	"ENSG00000029534.22"	148.999
"479"	"ENSG00000029559.7"	0
"480"	"ENSG00000029639.11"	180.827
"481"	"ENSG00000029725.17"	621.001
"482"	"ENSG00000029993.15"	29
"483"	"ENSG00000030066.14"	556.999
"484"	"ENSG00000030110.14"	25
"485"	"ENSG00000030304.15"	45
"486"	"ENSG00000030419.17"	132.001
"487"	"ENSG00000030582.19"	1356.999
"488"	"ENSG00000031003.11"	618
"489"	"ENSG00000031081.11"	717
"490"	"ENSG00000031691.7"	14
"491"	"ENSG00000031698.13"	493
"492"	"ENSG00000031823.14"	296
"493"	"ENSG00000032219.19"	839.001
"494"	"ENSG00000032389.13"	95.001
"495"	"ENSG00000032444.17"	294.977
"496"	"ENSG00000032742.18"	206
"497"	"ENSG00000033011.14"	488.994
"498"	"ENSG00000033030.16"	278
"499"	"ENSG00000033050.9"	21.783
"500"	"ENSG00000033100.17"	237
"501"	"ENSG00000033122.21"	26
"502"	"ENSG00000033170.17"	779
"503"	"ENSG00000033178.13"	875
"504"	"ENSG00000033327.13"	345
"505"	"ENSG00000033627.18"	480.001
